text,sentiment,id
перший блокування новий рада слуга народ заважати виступ геращенко єс оточити трибуна,0,10671
сша розслідувати версія смерть газпромівський пропагандист лесіна,0,34415
волинь будинок статися пожежа дитина загинути,0,27865
нардеп шухевич рада забрати швидкий,0,29122
асад відбити повстанець важливий район алеппо,0,19707
гарячий вода тепло відключити соломянський район київ,0,22452
клюєв оголосити міжнародний розшук,0,25939
кадиров подарувати санаторій окупований алушта,0,7093
кий світлофор зіткнутися автомобіль бути постраждалий,0,15536
ап сказати зробити заява ситуація молдова,0,3127
туреччина закликати російський військовий не вимахуватись пзрк,0,14679
дбр порушити провадження можливий зрив операція затримання вагнерівець венедіктов,0,4981
путін запровадити санкція північний корея,0,32109
пожежа готелі токіо стар донька загиблий австралійка вимагати млн компенсація,0,10976
дія бойовик маріупольський порт обробити меньше вантаж,0,40318
коваль єс мати готовий путін не зупинитися засіб вплив київ,0,7473
польща не приймати біженець мільйон українець міністр,0,11123
автобус українець потрапити дтп тульський область людина постраждало змі,0,2148
контактний група обговорити пятниця сепаратист обстріл троїцький кучма,0,7591
харко маршрутка врізатися авто патрульний,0,38640
опублікувати новий карикатура теракт париж,0,18890
позачерговий сесія рада розглянути зміна децентралізація порошенко,0,9315
чс атакувати комаха журналістка вести репортаж антимоскітний сітка,0,40552
політ думка складно швидко говорити українська віцепремєр федоров,0,15932
кий час будівельний робота загинути чоловік,0,36442
канни коронавірус скасували міжнародний виставка аудіовізуальний контент,0,36005
ізраїль готуватися повний блокада місто,0,25153
бойовик тричі обстріляли пункт пропуск станиця луганський,0,2896
закарпаття горіти чотириповерховий торговий центр,0,28096
фотофакт кий радіоринок статися вибух,0,39949
коронувати терорист захарченко,0,18373
україна стати головний тема рада нато росія,0,39189
залізничний станція одеса згоріти квадратний метр склад,0,28122
бойовик завершити переформування тип зс росія,0,20120
китай пожежа шахта загинути людина,0,36697
бойовик доба півсотня раз обстріляли позиція сила ато,0,20115
мешканець донецьк повідомляти обстріл,0,27231
справа слідство оприлюднити новий розмова бойовик,0,33872
вересень фронт російський бік обстріл неподалік місто селище український бути загиблий,0,1790
млрд грн гроші янукович використати,0,6060
намагатися уточнити свій статус не білоруський опозиціонер радченков кравцов розповісти відбуватися затримання,0,794
київський дельфінарій відключати каналізація,0,25621
фсб заявити затримання український агент вибухівка окупований крим,0,17795
іспанія пропонувати британія спільний суверенітет гібралтар,0,25271
росія слідчий не дозволити батьки гриб зустрітися син,0,21124
тихановська не брати участь розробка радикальний план речниця опозиція підозра слідком,0,14447
дбр допитувати звільнений моряк справа заява портнов адвокат,0,4973
терорист стягнути алчевськ тисяча боєць одиниця техніка,0,34693
чернівці автівка вилетіти тротуар жінка зупинка відірвати гомілка,0,16914
кий ледве не згоріти підземний паркінг,0,36336
лукашенко просити путін допомогти приборкати кольоровий революція,0,8056
крим поновитися обшук будинок кримський татарин,0,36840
релігійний лідер іран заборонити ввезення країна британський американський вакцина,0,32491
савченко голодування втратити кг полозов,0,12941
фсб затримати російський військовий звинувачувати шпигунство користь україна,0,40046
гривня просісти відкриття міжбанк,0,22812
доба зоня оос обстріл поранити боєць,0,5384
суд відсторонення супрун ухвала винести завтра,0,34186
геращенко домагатися звільнення суддя виправдали мельник,0,4590
донбас поранити боєць оос знищити окупант,0,8963
зближення путін суперечити поняття мирний європа байден,0,6578
донецьк вибухнути снаряд бойовик,0,40947
генштаб зсу вивчати бойовий готовність російський військо кордон,0,22518
росіянин обстріляли золоте гранатомет,0,33083
кий район залишитися гарячий вода,0,36055
олімпійський пляж ріо викинути частина тіло,0,28491
білорусь викликати посол україна порушення авіапростір,0,19912
парубій доля закон реструктуризація кредит вирішити регламентний комітет,0,10556
терорист обстріляли пропускний пункт багато мирний людина штаб ато,0,14376
картопля україна подорожчати третина,0,24442
житловий новобудова україна бути ризикований найбільше такий одеса кий дослідження,0,19941
українсько американський ракета вивести орбіта вантажний корабель мкс,0,39432
росія ввозити сирія військовий техніка вивозити,0,12451
ярош порівняти донбас нацистський німеччина,0,41065
чугуїв тероризувати банда молодик бейсбольний битка,0,40568
затриманий боєць ато бойовик відповідати катування військовий зсу,0,24652
йти суддя отримати лист погроза,0,704
ексглава укравтодор виграти справа назк,0,5658
тіло дитина знайти місце катастрофа російський літак,0,34747
латвія пенсіонер хотіти позбутися іржа машина втопити яма кок кола,0,36880
центр київ загорітися офісний центр,0,38710
кий запрацювати камера фіксація порушення пдр водій оштрафувати перевищення швидкість,0,36275
представник лднр нервувати хамити провокувати казанський перший засідання ткг участь переселенець,0,1104
суд заарештувати екс керівництво укргазбанк справа розкрадання млн грн,0,13897
канада накрити серія торнадо будинок зійти фундамент,0,25459
латвія хотіти заборонити георгіївський стрічка,0,36883
луганщина загинути волонтер військовий штаб ато,0,9175
польща рейка зійти трамвай коморовський фотофакт,0,37669
російський міністр озвучити нинішній ціна газ україна,0,32665
сбу херсонщина викрити підпільний виробництво фальсифікований антисептик,0,33334
терорист намагатися прорвати оборона сила ато дебальцевого,0,34659
київ свиня виявити африканський чума,0,30510
китай показати ядерний ракета здатний вдарити будь точка земля,0,7271
суд арештувати імовірний виконавець замах заступник голова одеський облрада,0,34042
херсон масово ухилятися призов,0,38674
росія вимагати заблокувати реклама акція протест,0,32822
