text,sentiment,id
перший блокування новий рада слуга народ заважати виступ геращенко єс оточити трибуна,0,10671
сша розслідувати версія смерть газпромівський пропагандист лесіна,0,34415
волинь у будинок статися пожежа дитина загинути,0,27865
нардеп шухевич з рада забрати швидкий,0,29122
асад відбити у повстанець важливий район алеппо,0,19707
гарячий вода тепло відключити у соломянський район київ,0,22452
клюєв оголосити у міжнародний розшук,0,25939
кадиров подарувати санаторій в окупований алушта,0,7093
у кий світлофор зіткнутися автомобіль бути постраждалий,0,15536
в ап сказати зробити заява ситуація у молдова,0,3127
туреччина закликати російський військовий не вимахуватись пзрк,0,14679
дбр порушити провадження можливий зрив операція затримання вагнерівець венедіктов,0,4981
путін запровадити санкція проти північний корея,0,32109
пожежа в готелі токіо стар донька загиблий австралійка вимагати млн компенсація,0,10976
через дія бойовик маріупольський порт обробити меньше вантаж,0,40318
коваль єс мати готовий до путін не зупинитися у засіб вплив київ,0,7473
польща не приймати біженець через мільйон українець міністр,0,11123
автобус з українець потрапити у дтп в тульський область людина постраждало змі,0,2148
контактний група обговорити у пятниця сепаратист обстріл під троїцький кучма,0,7591
у харко маршрутка врізатися в авто патрульний,0,38640
опублікувати новий карикатура теракт в париж,0,18890
позачерговий сесія рада розглянути зміна децентралізація порошенко,0,9315
чс атакувати комаха журналістка вести репортаж у антимоскітний сітка,0,40552
у політ думка складно швидко говорити українська віцепремєр федоров,0,15932
у кий під час будівельний робота загинути чоловік,0,36442
у канни через коронавірус скасували міжнародний виставка аудіовізуальний контент,0,36005
ізраїль готуватися до повний блокада місто,0,25153
бойовик тричі обстріляли пункт пропуск станиця луганський,0,2896
закарпаття горіти чотириповерховий торговий центр,0,28096
фотофакт у кий радіоринок статися вибух,0,39949
як коронувати терорист захарченко,0,18373
україна стати головний тема рада нато росія,0,39189
залізничний станція в одеса згоріти квадратний метр склад,0,28122
бойовик завершити переформування за тип зс росія,0,20120
у китай через пожежа шахта загинути людина,0,36697
бойовик за доба півсотня раз обстріляли позиція сила ато,0,20115
мешканець донецьк повідомляти про обстріл,0,27231
справа слідство оприлюднити новий розмова бойовик,0,33872
вересень фронт з російський бік обстріл неподалік від місто селище з український бути загиблий,0,1790
з понад млрд грн гроші янукович використати,0,6060
намагатися уточнити свій статус але не білоруський опозиціонер радченков кравцов розповісти як відбуватися затримання,0,794
київський дельфінарій відключати від каналізація,0,25621
фсб заявити про затримання український агент з вибухівка в окупований крим,0,17795
іспанія пропонувати британія спільний суверенітет над гібралтар,0,25271
в росія слідчий не дозволити батьки гриб зустрітися з син,0,21124
тихановська не брати участь у розробка радикальний план речниця опозиція про підозра слідком,0,14447
дбр допитувати звільнений моряк у справа заява портнов адвокат,0,4973
терорист стягнути під алчевськ тисяча боєць одиниця техніка,0,34693
у чернівці автівка вилетіти тротуар жінка зупинка відірвати гомілка,0,16914
у кий ледве не згоріти підземний паркінг,0,36336
лукашенко просити путін допомогти приборкати кольоровий революція,0,8056
у крим поновитися обшук у будинок кримський татарин,0,36840
релігійний лідер іран заборонити ввезення в країна британський американський вакцина від,0,32491
савченко через голодування втратити кг полозов,0,12941
фсб затримати російський військовий звинувачувати у шпигунство користь україна,0,40046
гривня просісти відкриття міжбанк,0,22812
доба в зоня оос обстріл поранити боєць,0,5384
суд відсторонення супрун ухвала винести завтра,0,34186
геращенко домагатися звільнення суддя виправдали мельник,0,4590
донбас поранити боєць оос але знищити окупант,0,8963
зближення з путін суперечити поняття мирний європа байден,0,6578
як у донецьк вибухнути снаряд бойовик,0,40947
генштаб зсу вивчати бойовий готовність російський військо біля кордон,0,22518
росіянин обстріляли золоте з гранатомет,0,33083
у кий район залишитися без гарячий вода,0,36055
олімпійський пляж у ріо викинути частина тіло,0,28491
білорусь викликати посол україна через порушення авіапростір,0,19912
парубій доля закон про реструктуризація кредит вирішити регламентний комітет,0,10556
терорист обстріляли пропускний пункт багато мирний людина штаб ато,0,14376
за картопля в україна подорожчати третина,0,24442
житловий новобудова в україна бути ризикований найбільше такий в одеса кий дослідження,0,19941
українсько американський ракета вивести орбіта вантажний корабель до мкс,0,39432
росія ввозити до сирія військовий техніка вивозити,0,12451
ярош порівняти донбас з нацистський німеччина,0,41065
чугуїв тероризувати банда молодик з бейсбольний битка,0,40568
затриманий боєць ато бойовик відповідати за катування військовий зсу,0,24652
йти до суддя отримати лист з погроза,0,704
ексглава укравтодор виграти справа проти назк,0,5658
тіло дитина знайти місце катастрофа російський літак,0,34747
у латвія пенсіонер хотіти позбутися іржа машина втопити у яма з кок кола,0,36880
у центр київ загорітися офісний центр,0,38710
у кий запрацювати камера фіксація порушення пдр водій оштрафувати за перевищення швидкість,0,36275
представник лднр нервувати хамити провокувати казанський про перший засідання ткг за участь переселенець,0,1104
суд заарештувати екс керівництво укргазбанк у справа про розкрадання млн грн,0,13897
канада накрити серія торнадо будинок зійти з фундамент,0,25459
у латвія хотіти заборонити георгіївський стрічка,0,36883
луганщина загинути волонтер військовий штаб ато,0,9175
у польща з рейка зійти трамвай з коморовський фотофакт,0,37669
російський міністр озвучити нинішній ціна газ для україна,0,32665
сбу херсонщина викрити підпільний виробництво фальсифікований антисептик,0,33334
терорист намагатися прорвати оборона сила ато біля дебальцевого,0,34659
під київ у свиня виявити африканський чума,0,30510
